rule,support,confidence,lift
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER -> PINK REGENCY TEACUP AND SAUCER",0.026095768938434252,0.7045143638850888,18.890748602272048
"PINK REGENCY TEACUP AND SAUCER -> GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.026095768938434252,0.6997282608695651,18.890748602272048
"GREEN REGENCY TEACUP AND SAUCER -> PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.026095768938434252,0.5282051282051282,18.287944219523165
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER -> GREEN REGENCY TEACUP AND SAUCER",0.026095768938434252,0.9035087719298245,18.287944219523165
PINK REGENCY TEACUP AND SAUCER -> GREEN REGENCY TEACUP AND SAUCER,0.030656194578160628,0.8220108695652173,16.63834308807135
GREEN REGENCY TEACUP AND SAUCER -> PINK REGENCY TEACUP AND SAUCER,0.030656194578160628,0.6205128205128205,16.63834308807135
"ROSES REGENCY TEACUP AND SAUCER -> GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.026095768938434252,0.508390918065153,16.583627715728586
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER -> ROSES REGENCY TEACUP AND SAUCER",0.026095768938434252,0.8512396694214875,16.583627715728586
GARDENERS KNEELING PAD CUP OF TEA -> GARDENERS KNEELING PAD KEEP CALM,0.027565239422346087,0.7214854111405836,15.733165291557368
GARDENERS KNEELING PAD KEEP CALM -> GARDENERS KNEELING PAD CUP OF TEA,0.027565239422346087,0.6011049723756906,15.733165291557366
ROSES REGENCY TEACUP AND SAUCER -> PINK REGENCY TEACUP AND SAUCER,0.02888269571826704,0.562685093780849,15.087758594789475
PINK REGENCY TEACUP AND SAUCER -> ROSES REGENCY TEACUP AND SAUCER,0.02888269571826704,0.7744565217391304,15.087758594789475
GREEN REGENCY TEACUP AND SAUCER -> ROSES REGENCY TEACUP AND SAUCER,0.037040790473777556,0.7497435897435899,14.606307742931635
ROSES REGENCY TEACUP AND SAUCER -> GREEN REGENCY TEACUP AND SAUCER,0.037040790473777556,0.721618953603159,14.606307742931634
SPACEBOY LUNCH BOX -> DOLLY GIRL LUNCH BOX,0.02660248289840385,0.5938914027149321,14.121020280215888
DOLLY GIRL LUNCH BOX -> SPACEBOY LUNCH BOX,0.02660248289840385,0.6325301204819278,14.121020280215888
JUMBO BAG PEARS -> JUMBO BAG APPLES,0.020319229794780846,0.6843003412969284,14.008990908189713
RED RETROSPOT CHARLOTTE BAG -> CHARLOTTE BAG PINK POLKADOT,0.026349125918419054,0.5058365758754865,13.526673204475237
CHARLOTTE BAG PINK POLKADOT -> RED RETROSPOT CHARLOTTE BAG,0.026349125918419054,0.7046070460704607,13.526673204475236
STRAWBERRY CHARLOTTE BAG -> WOODLAND CHARLOTTE BAG,0.020471243982771725,0.5642458100558659,13.464801767173537
STRAWBERRY CHARLOTTE BAG -> CHARLOTTE BAG SUKI DESIGN,0.020876615150747402,0.5754189944134078,12.978164405426977
STRAWBERRY CHARLOTTE BAG -> RED RETROSPOT CHARLOTTE BAG,0.024423612870534583,0.6731843575418994,12.92343705845271
ALARM CLOCK BAKELIKE GREEN -> ALARM CLOCK BAKELIKE RED,0.0320749936660755,0.6546018614270942,12.578936451084425
ALARM CLOCK BAKELIKE RED -> ALARM CLOCK BAKELIKE GREEN,0.0320749936660755,0.6163583252190848,12.578936451084425
CHARLOTTE BAG PINK POLKADOT -> CHARLOTTE BAG SUKI DESIGN,0.020673929566759564,0.5528455284552845,12.469036004645758
WOODLAND CHARLOTTE BAG -> CHARLOTTE BAG SUKI DESIGN,0.022903470990625792,0.5465538089480049,12.32713076524443
CHARLOTTE BAG SUKI DESIGN -> WOODLAND CHARLOTTE BAG,0.022903470990625792,0.5165714285714286,12.32713076524443
WOODLAND CHARLOTTE BAG -> RED RETROSPOT CHARLOTTE BAG,0.025487712186470737,0.6082224909310763,11.67633351996575
PAPER CHAIN KIT VINTAGE CHRISTMAS -> PAPER CHAIN KIT 50'S CHRISTMAS,0.027615910818343047,0.6720098643649816,11.602899976590473
ALARM CLOCK BAKELIKE PINK -> ALARM CLOCK BAKELIKE RED,0.02300481378261971,0.5981554677206851,11.49425331593741
CHARLOTTE BAG SUKI DESIGN -> RED RETROSPOT CHARLOTTE BAG,0.025589054978464656,0.5771428571428572,11.079683157309617
ALARM CLOCK BAKELIKE PINK -> ALARM CLOCK BAKELIKE GREEN,0.020825943754750442,0.541501976284585,11.051232163367409
WOODEN FRAME ANTIQUE WHITE -> WOODEN PICTURE FRAME WHITE FINISH,0.027159868254370407,0.5594989561586639,10.111457783691604
DOTCOM POSTAGE -> JUMBO STORAGE BAG SUKI,0.02001520141879909,0.557909604519774,9.346643501865653
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI -> JUMBO BAG PINK POLKADOT",0.020876615150747402,0.5714285714285714,9.312256694585349
HEART OF WICKER LARGE -> HEART OF WICKER SMALL,0.02457562705852546,0.528322440087146,8.828487176223392
JUMBO BAG WOODLAND ANIMALS -> JUMBO STORAGE BAG SUKI,0.022700785406637954,0.5245901639344263,8.78844387542097
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT -> JUMBO STORAGE BAG SUKI",0.020876615150747402,0.503052503052503,8.42762406429639
60 TEATIME FAIRY CAKE CASES -> PACK OF 72 RETROSPOT CAKE CASES,0.022042057258677476,0.5451127819548872,8.411103011633854
JUMBO BAG WOODLAND ANIMALS -> JUMBO BAG PINK POLKADOT,0.0216366860907018,0.5,8.148224607762181
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI -> JUMBO BAG RED RETROSPOT",0.020876615150747402,0.8015564202334631,7.6641065665249
LUNCH BAG PINK POLKADOT -> LUNCH BAG RED RETROSPOT,0.030048137826197113,0.5526561043802424,7.077656210216797
LUNCH BAG WOODLAND -> LUNCH BAG RED RETROSPOT,0.026349125918419054,0.5179282868525896,6.6329102797117825
LUNCH BAG SUKI DESIGN -> LUNCH BAG RED RETROSPOT,0.028071953382315683,0.5139146567717997,6.581509248145014
DOTCOM POSTAGE -> JUMBO BAG RED RETROSPOT,0.02457562705852546,0.6850282485875706,6.549918840056059
JUMBO BAG PINK POLKADOT -> JUMBO BAG RED RETROSPOT,0.041499873321510006,0.676300578034682,6.4664689474391714
JUMBO BAG SCANDINAVIAN BLUE PAISLEY -> JUMBO BAG RED RETROSPOT,0.022447428426653156,0.6753048780487806,6.456948531149557
LUNCH BAG  BLACK SKULL. -> LUNCH BAG RED RETROSPOT,0.032024322270078544,0.5015873015873016,6.423637506051524
JUMBO BAG STRAWBERRY -> JUMBO BAG RED RETROSPOT,0.02680516848239169,0.649079754601227,6.206196200123651
JUMBO  BAG BAROQUE BLACK WHITE -> JUMBO BAG RED RETROSPOT,0.029389409678236635,0.6270270270270271,5.995338361617432
JUMBO BAG SPACEBOY DESIGN -> JUMBO BAG RED RETROSPOT,0.02158601469470484,0.624633431085044,5.972451919798131
JUMBO BAG WOODLAND ANIMALS -> JUMBO BAG RED RETROSPOT,0.027007854066379528,0.6241217798594848,5.9675597507397935
RED HANGING HEART T-LIGHT HOLDER -> WHITE HANGING HEART T-LIGHT HOLDER,0.024271598682543704,0.6643550624133149,5.954154022128415
JUMBO STORAGE BAG SUKI -> JUMBO BAG RED RETROSPOT,0.03653407651380795,0.6120543293718166,5.852176448717443
JUMBO BAG PINK VINTAGE PAISLEY -> JUMBO BAG RED RETROSPOT,0.025943754750443374,0.5995316159250585,5.732440135795073
JUMBO STORAGE BAG SKULLS -> JUMBO BAG RED RETROSPOT,0.02092728654674436,0.5874822190611664,5.617229454056259
JUMBO SHOPPER VINTAGE RED PAISLEY -> JUMBO BAG RED RETROSPOT,0.034253863693944765,0.5797598627787307,5.543391905008843
JUMBO BAG APPLES -> JUMBO BAG RED RETROSPOT,0.027413225234355205,0.5612033195020747,5.3659629410724055
RECYCLING BAG RETROSPOT -> JUMBO BAG RED RETROSPOT,0.02097795794274132,0.557200538358008,5.327690225046167
